Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date,,,,,,,,,,,,
2010-01-04,42.65061950683594,10.487241744995117,64.68000030517578,17.96015167236328,64.98999786376953,17.96963882446289,64.41000366210938,17.305503845214844,64.70999908447266,17.333965301513672,9506200,54898644
2010-01-05,42.156070709228516,10.33765983581543,63.93000030517578,17.7039852142334,64.62000274658203,17.96015167236328,63.81999969482422,17.599620819091797,64.58000183105469,17.950664520263672,10673100,45714931
2010-01-06,42.498958587646484,10.304421424865723,64.44999694824219,17.647058486938477,64.54000091552734,17.84630012512207,63.83000183105469,17.561670303344727,63.900001525878906,17.7039852142334,13171500,43640975
2010-01-07,42.19563674926758,10.265642166137695,63.9900016784668,17.580644607543945,64.3499984741211,17.713472366333008,63.7400016784668,17.514230728149414,64.25,17.685009002685547,10901600,41557112
2010-01-08,42.34070587158203,10.348745346069336,64.20999908447266,17.722959518432617,64.26000213623047,17.751422882080078,63.630001068115234,17.571157455444336,63.91999816894531,17.666034698486328,7898000,32049716
2010-01-11,42.347293853759766,10.431842803955078,64.22000122070312,17.86527442932129,64.75,17.979127883911133,64.01000213623047,17.713472366333008,64.75,17.86527442932129,7975700,34199665
2010-01-12,42.571495056152344,10.398604393005371,64.55999755859375,17.808349609375,64.72000122070312,18.017078399658203,64.0199966430664,17.685009002685547,64.12999725341797,17.836811065673828,10820700,43501847
2010-01-13,42.84185028076172,10.642365455627441,64.97000122070312,18.225805282592773,65.2300033569336,18.311195373535156,64.54000091552734,17.903226852416992,64.54000091552734,17.903226852416992,13023800,62728072
2010-01-14,42.92756652832031,10.736547470092773,65.0999984741211,18.387096405029297,65.2699966430664,18.50094985961914,64.75,18.149904251098633,65.19999694824219,18.216318130493164,7899000,49820367
2010-01-15,42.571495056152344,10.79748249053955,64.55999755859375,18.4914608001709,65.19999694824219,18.67172622680664,63.97999954223633,18.273244857788086,65.13999938964844,18.434534072875977,20995000,80760537
2010-01-19,43.09244155883789,11.080021858215332,65.3499984741211,18.975332260131836,65.75,19.041746139526367,64.11000061035156,18.50094985961914,64.13999938964844,18.52941131591797,15181800,82562244
2010-01-20,42.9605598449707,11.046782493591309,65.1500015258789,18.918405532836914,65.94999694824219,19.3168888092041,64.47000122070312,18.851991653442383,65.47000122070312,19.022769927978516,13033000,83522965
2010-01-21,42.18244934082031,10.658977508544922,63.970001220703125,18.254268646240234,65.47000122070312,19.117647171020508,63.79999923706055,18.187856674194336,65.06999969482422,19.013282775878906,14473900,81343188
2010-01-22,41.67470169067383,10.503861427307129,63.20000076293945,17.988615036010742,64.19000244140625,18.899431228637695,63.09000015258789,17.93168830871582,63.90999984741211,18.273244857788086,14017200,65034962
2010-01-25,41.687896728515625,10.442925453186035,63.220001220703125,17.88425064086914,63.70000076293945,18.263757705688477,63.04999923706055,17.87476348876953,63.66999816894531,18.254268646240234,10001700,51933110
2010-01-26,41.40434646606445,10.404147148132324,62.790000915527344,17.81783676147461,63.0099983215332,17.93168830871582,62.220001220703125,17.675521850585938,62.63999938964844,17.76091194152832,15630300,45955032
2010-01-27,41.83296203613281,10.526026725769043,63.439998626708984,18.026565551757812,63.720001220703125,18.111953735351562,62.70000076293945,17.7039852142334,62.779998779296875,17.81783676147461,14982400,57558308
2010-01-28,42.070343017578125,10.321043968200684,63.79999923706055,17.675521850585938,64.06999969482422,18.121442794799805,63.040000915527344,17.656545639038086,63.56999969482422,18.092979431152344,17096000,53690549
2010-01-29,41.45050048828125,10.33765983581543,62.86000061035156,17.7039852142334,64.2699966430664,17.99810218811035,62.81999969482422,17.571157455444336,63.95000076293945,17.74193572998047,17844400,59071114
2010-02-01,41.60216522216797,10.409683227539062,63.09000015258789,17.82732391357422,63.2599983215332,18.017078399658203,62.77000045776367,17.74193572998047,63.2599983215332,17.82732391357422,10153400,41586308
2010-02-02,42.19563674926758,10.658977508544922,63.9900016784668,18.254268646240234,64.19999694824219,18.339658737182617,62.630001068115234,17.808349609375,63.20000076293945,17.903226852416992,13609300,71262310
2010-02-03,41.958248138427734,10.412919998168945,63.630001068115234,17.666034698486328,63.869998931884766,17.88425064086914,63.290000915527344,17.476280212402344,63.869998931884766,17.73244857788086,9255900,120151889
