WarehouseId,Email
Actvations,
Bulaga,bulagaduuka@yalelo.ug
Bunamwaya,bunamwayastore@yalelo.ug
Busia,busiastore@yalelo.ug
ButembeSal,
Bwaise,bwaisestore@yalelo.ug
Canteen,
Distrbtion,mbiryetega@yalelo.ug
HighValue,
Jinja V3,jinjastore@yalelo.ug
Kafunta,kafuntastore@yalelo.ug
Kasangati,kasangatistore@yalelo.ug
Kasubi,kasubistore@yalelo.ug
Kawempe V2,kawempestore@yalelo.ug
Kibuli,kibulistore@yalelo.ug
Kibuye,kibuyestore@yalelo.ug
Kireka,kirekastore@yalelo.ug
Kyaliwajal,kyaliwajjalastore@yalelo.ug
Kyambogo,kyambogostore@yalelo.ug
Kyengera-R,kyengerastore@yalelo.ug
Malaba,malababorder@yalelo.ug
Mpondwe,mpondweborder@yalelo.ug
Mukono,mukonoshop@yalelo.ug
Mutungo,mutungostore@yalelo.ug
Nansana V2,nansanastore@yalelo.ug
Natete V2,nateetestore@yalelo.ug
Ntinda,ntindastore@yalelo.ug
Nyahuka,nyahukaborder@yalelo.ug
ProdWasteL,
Production,
Swift,
