CreatedOn,HarvestId,BatchCode,Weight,Pieces,ProductName,Size,CrateCode,NewCrateCode,DestinationName,NewDestinationName
2026-07-30 06:28:53,207432,GA09\YU25-074,32.13,25,SXXL,SXXL,OC6470,OC6470,HV-FSkinL,HV-FSkinL
2026-07-30 06:32:50,207433,GA09\YU25-074,31.08,25,SXXL,SXXL,OC1022,OC1022,HV-FSkinL,HV-FSkinL
2026-07-30 06:33:05,207434,GA09\YU25-074,30.46,25,SXXL,SXXL,OC3933,OC3933,HV-FSkinL,HV-FSkinL
2026-07-30 06:33:21,207435,GA09\YU25-074,30.25,25,SXXL,SXXL,OC6044,OC6044,HV-FSkinL,HV-FSkinL
2026-07-30 06:33:32,207436,GA09\YU25-074,31.49,25,SXXL,SXXL,OC4969,OC4969,HV-FSkinL,HV-FSkinL
2026-07-30 06:33:50,207437,GA09\YU25-074,30.58,25,SXXL,SXXL,OC5522,OC5522,HV-FSkinL,HV-FSkinL
2026-07-30 06:34:05,207438,GA09\YU25-074,30.56,25,SXXL,SXXL,OC5881,OC5881,HV-FSkinL,HV-FSkinL
2026-07-30 06:34:16,207439,GA09\YU25-074,30.80,25,SXXL,SXXL,OC6277,OC6277,HV-FSkinL,HV-FSkinL
2026-07-30 06:34:27,207440,GA09\YU25-074,30.64,25,SXXL,SXXL,OC5862,OC5862,HV-FSkinL,HV-FSkinL
2026-07-30 06:34:44,207441,GA09\YU25-074,30.94,25,SXXL,SXXL,CC0951,CC0951,HV-FSkinL,HV-FSkinL
2026-07-30 06:34:57,207442,GA09\YU25-074,29.69,25,SXXL,SXXL,OC0981,OC0981,HV-FSkinL,HV-FSkinL
2026-07-30 06:35:07,207443,GA09\YU25-074,32.04,25,SXXL,SXXL,OC8295,OC8295,HV-FSkinL,HV-FSkinL
2026-07-30 06:35:34,207444,GA09\YU25-074,30.66,25,SXXL,SXXL,CC1478,CC1478,HV-FSkinL,HV-FSkinL
2026-07-30 06:35:46,207445,GA09\YU25-074,30.82,25,SXXL,SXXL,OC5661,OC5661,HV-FSkinL,HV-FSkinL
2026-07-30 06:36:00,207446,GA09\YU25-074,29.43,25,SXXL,SXXL,OC5972,OC5972,HV-FSkinL,HV-FSkinL
2026-07-30 06:36:25,207447,GA09\YU25-074,30.06,25,SXXL,SXXL,OC1288,OC1288,HV-FSkinL,HV-FSkinL
2026-07-30 06:36:37,207448,GA09\YU25-074,30.27,25,SXXL,SXXL,OC5331,OC5331,HV-FSkinL,HV-FSkinL
2026-07-30 06:36:47,207449,GA09\YU25-074,31.36,25,SXXL,SXXL,OC6641,OC6641,HV-FSkinL,HV-FSkinL
